CurrencyISO,Rate_to_USD,SurveyYear
AUD,0.7522,2015
BRL,3.336,2015
CAD,1.2791,2015
CNY,6.2827,2015
DKK,6.7263,2015
EUR,1.1096,2015
HKD,7.7524,2015
INR,64.1073,2015
JPY,121.0491,2015
MYR,3.9041,2015
MXN,15.8735,2015
NZD,0.7001,2015
NOK,8.0681,2015
SGD,1.3746,2015
ZAR,12.7645,2015
KRW,1130.9603,2015
LKR,135.8695,2015
SEK,8.435,2015
CHF,0.9628,2015
TWD,31.7443,2015
THB,34.2415,2015
GBP,1.5284,2015
VES,6.2842,2015
USD,1.0,2015
